"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.8_20g.csv 1",,,,"Date:","27 Nov 2025 20:19:10 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
27-11 20:19:10,0.134,0.014,99.851,0.000,0,24919838720,106124312576,770547712,135871291392,0,0,573149.464,340835.204
27-11 20:19:11,0.014,0.056,99.931,0,0,24919855104,106124296192,770547712,135871291392,352,1426,0,0
27-11 20:19:12,0,0.028,99.972,0,0,24919863296,106124296192,770547712,135871291392,291,736,0,0
27-11 20:19:13,0,0.069,99.931,0,0,24919887872,106124255232,770547712,135871291392,677,1712,0,0
27-11 20:19:14,0.042,0.056,99.903,0,0,24920203264,106123948032,770555904,135871283200,411,1092,0,65536
27-11 20:19:15,0,0.014,99.986,0,0,24920195072,106123948032,770555904,135871291392,262,798,0,0
27-11 20:19:16,0.028,0.097,99.875,0,0,24920436736,106123706368,770555904,135871291392,62689,15160424,0,0
27-11 20:19:17,0.069,0.056,99.875,0,0,24921780224,106121764864,770555904,135871856640,578643,2710190,0,0
27-11 20:19:18,1.863,0.403,97.734,0,0,24991686656,106051203072,770555904,135872561152,11120,6580,0,0
27-11 20:19:19,3.604,0.320,96.076,0,0,25163235328,105879773184,770555904,135872581632,874,3238,0,655360
27-11 20:19:20,4.450,0.292,95.258,0,0,25293611008,105749393408,770555904,135872585728,4817,5904,0,0
27-11 20:19:21,4.542,0.333,95.124,0,0,25395851264,105647140864,770555904,135872589824,292,2209,0,5685248
27-11 20:19:22,5.760,0.348,93.892,0,0,25438011392,105604976640,770555904,135872593920,520,2439,0,0
27-11 20:19:23,4.949,0.194,94.857,0,0,25452515328,105590095872,770555904,135872937984,4418,5385,0,0
27-11 20:19:24,0.250,0.111,99.639,0,0,25453838336,105588551680,770568192,135872925696,3591,4184,0,483328
27-11 20:19:25,0.125,0.069,99.805,0,0,25453834240,105588559872,770568192,135872937984,2044,3844,0,0
27-11 20:19:26,0.583,0.111,99.305,0,0,25455661056,105586728960,770568192,135872942080,3342,7232,0,0
27-11 20:19:27,0.167,0.097,99.736,0,0,25455915008,105586462720,770568192,135872946176,4517,7596,0,0
27-11 20:19:28,0.167,0.097,99.736,0,0,25455869952,105586479104,770568192,135872950272,5885,8466,0,0
27-11 20:19:29,0.236,0.069,99.694,0,0,25456156672,105586188288,770576384,135872946176,3695,6825,0,40960
27-11 20:19:30,0.264,0.097,99.639,0,0,25456173056,105586114560,770576384,135872946176,113916,7644,0,0
27-11 20:19:31,0.083,0.070,99.847,0,0,25456635904,105585676288,770576384,135872962560,4678,8196,0,0
27-11 20:19:32,0.458,0.083,99.458,0,0,25456926720,105585385472,770576384,135872962560,6995,8847,0,0
27-11 20:19:33,2.584,0.375,97.040,0,0,25534767104,105507164160,770576384,135873138688,6916,8864,0,0
27-11 20:19:34,5.762,0.640,93.598,0,0,25746313216,105294622720,770580480,135873277952,5017,7112,0,450560
27-11 20:19:35,11.886,0.946,87.168,0,0,26065313792,104974745600,770580480,135873724416,14489,5480,0,0
27-11 20:19:36,12.301,0.844,86.855,0,0,26314862592,104724230144,770580480,135874043904,6776,10414,0,0
27-11 20:19:37,10.287,0.640,89.073,0,0,26468261888,104548552704,770580480,135896551424,23952,10966,0,3465216
27-11 20:19:38,21.069,0.815,78.117,0,0,26934095872,104031539200,770580480,135949094912,5547,10048,0,0
27-11 20:19:39,14.060,0.777,85.163,0,0,27230552064,103630331904,770584576,136053440512,6427,9800,0,1269760
27-11 20:19:40,10.631,1.251,88.118,0,0,27441295360,103181082624,770584576,136287010816,7758,5253,0,0
27-11 20:19:41,14.566,1.448,83.986,0,0,27187216384,103355510784,770584576,136363708416,5911,9435,0,0
27-11 20:19:42,15.455,1.810,82.651,0.084,0,26916466688,103589388288,770584576,136400248832,30827,13309,0,840392704
27-11 20:19:43,11.249,0.667,88.084,0,0,26498949120,104108593152,770584576,136300695552,20071,12392,0,0
27-11 20:19:44,15.654,1.112,83.234,0,0,26909237248,103601700864,770592768,136395403264,4531,6203,0,901120
27-11 20:19:45,16.838,1.055,82.107,0,0,27347423232,103060049920,770592768,136494886912,3191,5261,0,0
27-11 20:19:46,21.389,1.520,77.091,0,0,27931635712,102218076160,770592768,136745345024,17266,5968,0,0
27-11 20:19:47,14.902,1.536,83.534,0.028,0,27489370112,102582231040,770592768,136821411840,19891,9427,0,280059904
27-11 20:19:48,12.126,1.467,86.406,0,0,27054821376,102962114560,770592768,136875139072,19235,10326,0,0
27-11 20:19:49,15.260,1.088,83.652,0,0,26796167168,103263350784,770605056,136833495040,5057,12076,0,696320
27-11 20:19:50,16.080,1.019,82.901,0,0,27230351360,102720368640,770605056,136939503616,3461,6098,0,0
27-11 20:19:51,21.530,1.599,76.871,0,0,27776278528,102005395456,770605056,137103433728,17951,5347,0,0
27-11 20:19:52,14.518,1.267,84.215,0,0,27467300864,102335909888,770605056,137083445248,16957,8269,0,65536
27-11 20:19:53,14.540,1.223,84.237,0,0,27108204544,102521139200,770605056,137253027840,5767,7835,0,65536
27-11 20:19:54,18.669,1.414,79.917,0,0,26910650368,102752342016,770613248,137221038080,17180,9470,0,688128
27-11 20:19:55,18.649,1.068,80.283,0,0,27336605696,102223343616,770613248,137321013248,5142,7981,0,0
27-11 20:19:56,19.380,1.266,79.354,0,0,27702923264,101620305920,770613248,137551511552,15561,10281,0,0
27-11 20:19:57,10.591,0.892,88.517,0,0,27258376192,102022750208,770613248,137594015744,6039,9295,0,65536
27-11 20:19:58,16.202,1.388,82.410,0,0,26941607936,102226071552,770613248,137705316352,16978,12000,0,65536
27-11 20:19:59,5.931,0.752,93.317,0,0,26437578752,102808842240,770621440,137627992064,6320,10963,0,589824
27-11 20:20:00,17.459,1.352,81.190,0,0,26906607616,102125654016,770621440,137835507712,3891,4011,0,0
27-11 20:20:01,15.878,1.605,82.517,0,0,26760470528,102337896448,770621440,137770242048,7337,9120,0,65536
27-11 20:20:02,18.243,1.327,80.430,0,0,27159400448,101793361920,770621440,137913401344,21845,9975,0,0
27-11 20:20:03,23.943,1.502,74.555,0,0,27068260352,101973790720,770621440,137826537472,31537,10422,0,65536
27-11 20:20:04,25.561,1.323,73.116,0,0,27660316672,101306830848,770621440,137900167168,17718,8011,0,712704
27-11 20:20:05,21.032,1.113,77.855,0,0,28086050816,100728688640,770621440,138048417792,3960,2810,0,0
27-11 20:20:06,13.777,1.070,85.152,0,0,28242014208,100380528640,770621440,138235019264,16084,6878,0,0
27-11 20:20:07,14.399,1.432,84.170,0,0,28385447936,100030459904,770621440,138436481024,6025,10730,0,0
27-11 20:20:08,22.121,2.558,75.238,0.083,0,28346286080,100010582016,770621440,138493390848,16612,6454,0,839712768
27-11 20:20:09,10.309,1.268,88.423,0,0,27400843264,100993937408,770625536,138458382336,2598,6913,0,974848
27-11 20:20:10,13.579,1.478,84.944,0,0,27148013568,101056172032,770625536,138643329024,4613,7431,0,65536
