"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","nother-Super-Server",,,,"User:","nother"
"Cmdline:","dstat -tcmnd --output 0.01_5g.csv 1",,,,"Date:","29 Nov 2025 01:03:55 CST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ"
29-11 01:03:55,0.134,0.014,99.852,0.000,0,23609147392,102346715136,876122112,140727291904,0,0,563488.671,369715.619,
29-11 01:03:56,0.028,0.056,99.917,0,0,23609098240,102346764288,876122112,140727291904,531,1490,0,0,
29-11 01:03:57,0.014,0.028,99.958,0,0,23609098240,102346764288,876122112,140727291904,593,1448,0,0,
29-11 01:03:58,0.028,0.028,99.944,0,0,23609040896,102346821632,876122112,140727291904,471,938,0,0,
29-11 01:03:59,0.028,0.042,99.931,0,0,23609024512,102346838016,876122112,140727291904,292,890,0,0,
29-11 01:04:00,0.042,0.042,99.917,0,0,23609020416,102346838016,876126208,140727291904,460,1264,0,98304,
29-11 01:04:01,0.125,0.097,99.778,0,0,23608504320,102347354112,876126208,140727291904,292,1130,0,0,
29-11 01:04:02,0.056,0.069,99.875,0,0,23609061376,102346797056,876126208,140727291904,50797,9810298,0,0,
29-11 01:04:03,0.042,0.014,99.944,0,0,23609126912,102346166272,876126208,140727840768,564962,5385820,0,0,
29-11 01:04:04,0.028,0.056,99.917,0,0,23609159680,102346133504,876126208,140727840768,791,1532,0,0,
29-11 01:04:05,0.042,0.028,99.931,0,0,23609110528,102346182656,876126208,140727840768,2310,1276,0,0,
29-11 01:04:06,0.069,0.014,99.917,0,0,23609110528,102346182656,876126208,140727840768,1932,1380,0,65536,
29-11 01:04:07,0.028,0.069,99.903,0,0,23608877056,102346416128,876126208,140727840768,682,1452,0,0,
29-11 01:04:08,0.028,0.069,99.903,0,0,23608844288,102346448896,876126208,140727840768,531,1268,0,0,
29-11 01:04:09,0.014,0,99.986,0,0,23608836096,102346448896,876134400,140727840768,801,1318,0,90112,
29-11 01:04:10,0.042,0.042,99.917,0,0,23608827904,102346457088,876134400,140727840768,787,1036,0,0,
29-11 01:04:11,0.069,0.028,99.903,0,0,23608827904,102346457088,876134400,140727840768,496,1124,0,0,
29-11 01:04:12,0.014,0.069,99.917,0,0,23608795136,102346489856,876134400,140727840768,460,1738,0,0,
29-11 01:04:13,0.042,0.056,99.903,0,0,23608885248,102346399744,876134400,140727840768,352,1148,0,0,
29-11 01:04:14,0,0,100,0,0,23608885248,102346399744,876134400,140727840768,471,1144,0,0,
29-11 01:04:15,0.028,0.056,99.917,0,0,23608852480,102346432512,876134400,140727840768,341,1546,0,0,
29-11 01:04:16,0.028,0.042,99.931,0,0,23608836096,102346448896,876134400,140727840768,411,914,0,0,
29-11 01:04:17,0.014,0.014,99.972,0,0,23608836096,102346448896,876134400,140727840768,819,712,0,0,
29-11 01:04:18,2.542,0.375,97.083,0,0,23685558272,102269124608,876142592,140728508416,9164,5838,0,32768,
29-11 01:04:19,3.969,0.375,95.656,0,0,23817019392,102137294848,876142592,140728500224,3078,4711,0,0,
29-11 01:04:20,7.862,0.531,91.607,0,0,24029433856,101924106240,876142592,140728930304,11993,3486,0,0,
29-11 01:04:21,13.999,0.682,85.319,0,0,24399175680,101554442240,876142592,140728999936,2085,5684,0,0,
29-11 01:04:22,5.691,0.500,93.809,0,0,24482541568,101420703744,876142592,140779184128,44074336,124966,0,663552,
29-11 01:04:23,3.043,0.486,96.470,0,0,24482594816,101237977088,876150784,140959936512,121845586,338496,0,638976,
29-11 01:04:24,2.418,0.584,96.999,0,0,24482140160,101050585088,876150784,141143171072,123056269,344769,0,0,
